Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
196,Ryan Helsley\helslry01,26,STL,NL,2,0,1.000,4.91,10,0,0,0,0,0,11.0,12,6,6,0,6,0,12,0,0,1,49,78,2.53,1.636,9.8,0.0,4.9,9.8,2.00
197,Heath Hembree\hembrhe01,32,CIN,NL,0,0,,0.00,3,0,1,0,0,0,3.1,0,0,0,0,2,0,4,0,0,0,12,,2.48,0.600,0.0,0.0,5.4,10.8,2.00
198,Kyle Hendricks\hendrky01,31,CHC,NL,1,2,.333,5.68,4,4,0,0,0,0,19.0,21,12,12,7,8,0,18,2,0,0,86,68,7.55,1.526,9.9,3.3,3.8,8.5,2.25
199,Liam Hendriks\hendrli01,32,CHW,AL,1,0,1.000,4.82,9,0,7,0,0,4,9.1,7,5,5,4,1,0,16,0,0,0,36,86,5.54,0.857,6.8,3.9,1.0,15.4,16.00
200,Ryan Hendrix\hendrry01,26,CIN,NL,1,0,1.000,0.00,2,0,0,0,0,0,1.1,0,0,0,0,1,0,2,0,0,0,5,,2.33,0.750,0.0,0.0,6.8,13.5,2.00
201,Sam Hentges*\hentgsa01,24,CLE,AL,1,0,1.000,3.38,2,0,0,0,0,0,2.2,3,1,1,1,0,0,4,0,0,1,11,142,4.95,1.125,10.1,3.4,0.0,13.5,
202,Carlos Hernandez\hernaca04,24,KCR,AL,1,0,1.000,10.80,3,0,0,0,0,0,3.1,6,4,4,0,5,1,5,0,0,2,20,45,4.58,3.300,16.2,0.0,13.5,13.5,1.00
203,Darwinzon Hernandez*\hernada02,24,BOS,AL,0,1,.000,5.14,8,0,1,0,0,0,7.0,7,5,4,1,8,0,7,0,0,1,35,87,6.36,2.143,9.0,1.3,10.3,9.0,0.88
204,Elieser Hernandez\hernael01,26,MIA,NL,0,0,,7.71,1,1,0,0,0,0,2.1,2,2,2,1,0,0,3,0,0,0,9,60,6.08,0.857,7.7,3.9,0.0,11.6,
205,Codi Heuer\heuerco01,24,CHW,AL,2,1,.667,4.38,10,0,1,0,0,0,12.1,17,6,6,2,1,0,15,0,0,0,51,94,3.00,1.459,12.4,1.5,0.7,10.9,15.00
206,Jordan Hicks\hicksjo03,24,STL,NL,0,0,,5.40,8,0,1,0,0,0,8.1,4,5,5,0,9,0,8,0,0,3,37,71,4.40,1.560,4.3,0.0,9.7,8.6,0.89
207,Trevor Hildenberger\hildetr01,30,NYM,NL,0,0,,15.43,2,0,1,0,0,0,2.1,3,4,4,1,3,0,4,1,0,1,14,29,10.36,2.571,11.6,3.9,11.6,15.4,1.33
208,Rich Hill*\hillri01,41,TBR,AL,1,1,.500,7.25,5,5,0,0,0,0,22.1,22,18,18,5,7,0,24,2,0,0,95,52,5.05,1.299,8.9,2.0,2.8,9.7,3.43
209,Tim Hill*\hillti01,31,SDP,NL,1,2,.333,1.69,13,0,1,0,0,0,10.2,10,9,2,3,4,3,14,1,0,0,49,222,5.52,1.313,8.4,2.5,3.4,11.8,3.50
210,Jeff Hoffman\hoffmje02,28,CIN,NL,2,1,.667,3.33,5,5,0,0,0,0,24.1,21,10,9,3,12,1,19,0,0,1,102,135,4.60,1.356,7.8,1.1,4.4,7.0,1.58
211,Derek Holland*\hollade01,34,DET,AL,0,1,.000,10.13,6,1,3,0,0,0,8.0,13,9,9,2,4,0,8,0,0,0,43,43,5.83,2.125,14.6,2.3,4.5,9.0,2.00
212,Greg Holland\hollagr01,35,KCR,AL,2,1,.667,5.00,9,0,4,0,0,2,9.0,11,6,5,3,7,0,8,0,0,1,44,91,7.97,2.000,11.0,3.0,7.0,8.0,1.14
213,Jordan Holloway\hollojo01,25,MIA,NL,0,0,,0.00,3,0,2,0,0,0,5.0,1,0,0,0,1,0,6,0,0,0,17,,1.28,0.400,1.8,0.0,1.8,10.8,6.00
214,Clay Holmes\holmecl01,28,PIT,NL,1,0,1.000,6.35,10,0,2,0,0,0,11.1,9,8,8,1,4,0,10,1,0,1,47,64,3.78,1.147,7.1,0.8,3.2,7.9,2.50
215,Brent Honeywell Jr.\honeybr01,26,TBR,AL,0,0,,8.31,3,2,0,0,0,0,4.1,5,4,4,2,3,0,4,0,0,0,21,49,9.31,1.846,10.4,4.2,6.2,8.3,1.33
216,Tanner Houck\houckta01,25,BOS,AL,0,2,.000,4.35,3,2,0,0,0,0,10.1,14,7,5,1,1,0,12,0,0,1,45,101,2.30,1.452,12.2,0.9,0.9,10.5,12.00
217,Adrian Houser\housead01,28,MIL,NL,2,2,.500,3.65,5,5,0,0,0,0,24.2,25,11,10,3,10,0,19,0,0,3,102,112,4.33,1.419,9.1,1.1,3.6,6.9,1.90
218,Sam Howard*\howarsa01,28,PIT,NL,2,1,.667,1.80,13,0,1,0,0,0,10.0,4,2,2,2,5,0,14,0,0,1,38,228,4.38,0.900,3.6,1.8,4.5,12.6,2.80
219,Spencer Howard\howarsp01,24,PHI,NL,0,0,,8.31,3,0,1,0,0,0,4.1,6,4,4,0,2,0,8,0,0,0,21,51,0.77,1.846,12.5,0.0,4.2,16.6,4.00
220,Daniel Hudson\hudsoda01,34,WSN,NL,2,0,1.000,1.50,6,0,1,0,0,0,6.0,2,1,1,1,4,0,8,0,0,0,24,275,4.58,1.000,3.0,1.5,6.0,12.0,2.00
221,Raisel Iglesias\iglesra01,31,LAA,AL,1,2,.333,6.75,9,0,8,0,0,3,8.0,10,8,6,2,1,0,12,1,0,0,35,66,4.08,1.375,11.3,2.3,1.1,13.5,12.00
222,Cole Irvin*\irvinco01,27,OAK,AL,2,2,.500,3.86,4,4,0,0,0,0,21.0,24,9,9,2,3,0,17,3,0,2,93,98,3.55,1.286,10.3,0.9,1.3,7.3,5.67
223,Luke Jackson\jackslu01,29,ATL,NL,1,0,1.000,1.29,8,0,1,0,0,0,7.0,7,1,1,0,7,1,6,0,1,0,33,349,4.36,2.000,9.0,0.0,9.0,7.7,0.86
224,Kenley Jansen\janseke01,33,LAD,NL,0,1,.000,2.61,9,0,7,0,0,5,10.1,3,4,3,1,8,0,13,0,0,1,42,148,4.14,1.065,2.6,0.9,7.0,11.3,1.63
225,Cristian Javier\javiecr01,24,HOU,AL,3,0,1.000,0.87,4,4,0,0,0,0,20.2,11,2,2,0,6,0,26,2,0,1,79,472,1.72,0.823,4.8,0.0,2.6,11.3,4.33
