Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
OF,David Peralta (17545420),David Peralta,17545420,OF,4800,MIA@ARI 05/13/2021 09:40PM ET,ARI,8.11
OF,Starling Marte (17545439),Starling Marte,17545439,OF,4800,MIA@ARI 05/13/2021 09:40PM ET,MIA,10.67
C,Carson Kelly (17545494),Carson Kelly,17545494,C,4800,MIA@ARI 05/13/2021 09:40PM ET,ARI,9.18
SS,Miguel Rojas (17545430),Miguel Rojas,17545430,SS,4600,MIA@ARI 05/13/2021 09:40PM ET,MIA,7.79
1B,Jesus Aguilar (17545444),Jesus Aguilar,17545444,1B,4500,MIA@ARI 05/13/2021 09:40PM ET,MIA,9.15
3B,Kyle Seager (17545435),Kyle Seager,17545435,3B,4500,CLE@SEA 05/13/2021 10:10PM ET,SEA,7.39
2B/3B,Eduardo Escobar (17545431),Eduardo Escobar,17545431,2B/3B,4400,MIA@ARI 05/13/2021 09:40PM ET,ARI,7.11
OF,Ketel Marte (17545464),Ketel Marte,17545464,OF,4400,MIA@ARI 05/13/2021 09:40PM ET,ARI,13.67
OF,Josh Rojas (17545585),Josh Rojas,17545585,OF,4200,MIA@ARI 05/13/2021 09:40PM ET,ARI,6.97
OF,Franmil Reyes (17545488),Franmil Reyes,17545488,OF,4200,CLE@SEA 05/13/2021 10:10PM ET,CLE,8.81
1B/3B,Asdrubal Cabrera (17545415),Asdrubal Cabrera,17545415,1B/3B,4100,MIA@ARI 05/13/2021 09:40PM ET,ARI,7.61
OF,Corey Dickerson (17545437),Corey Dickerson,17545437,OF,4100,MIA@ARI 05/13/2021 09:40PM ET,MIA,5.94
RP,Joakim Soria (17545413),Joakim Soria,17545413,P,4000,MIA@ARI 05/13/2021 09:40PM ET,ARI,-0.02
RP,Ryan Buchter (17545417),Ryan Buchter,17545417,P,4000,MIA@ARI 05/13/2021 09:40PM ET,ARI,0
C,Stephen Vogt (17545423),Stephen Vogt,17545423,C,4000,MIA@ARI 05/13/2021 09:40PM ET,ARI,5.6
RP,Anthony Bass (17545426),Anthony Bass,17545426,P,4000,MIA@ARI 05/13/2021 09:40PM ET,MIA,1.64
RP,Richard Bleier (17545427),Richard Bleier,17545427,P,4000,MIA@ARI 05/13/2021 09:40PM ET,MIA,3.04
RP,Dylan Floro (17545436),Dylan Floro,17545436,P,4000,MIA@ARI 05/13/2021 09:40PM ET,MIA,3.58
