"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Gleyber Torres","NYY","14","51","60","10","8","2","0","0","4","1","9","0","15","0","0","0","1","1","0",".196","16997"
"Austin Meadows","TBR","16","57","71","11","5","3","0","3","8","4","12","0","18","2","0","0","1","0","0",".193","15672"
"Kyle Tucker","HOU","15","57","63","11","4","3","0","4","7","11","2","0","10","1","2","0","2","0","0",".193","18345"
"Charlie Blackmon","COL","14","47","53","9","4","4","0","1","4","7","5","1","7","1","0","0","0","0","0",".191","7859"
"Francisco Lindor","NYM","12","37","48","7","6","1","0","0","6","2","8","1","3","1","1","1","1","0","1",".189","12916"
"Paul DeJong","STL","15","53","63","10","5","0","0","5","13","10","9","0","21","1","0","0","2","0","0",".189","18015"
"Jose Abreu","CHW","17","64","75","12","8","2","0","2","6","11","10","0","25","0","1","0","3","1","0",".188","15676"
"Trey Mancini","BAL","16","59","65","11","5","3","0","3","7","11","4","0","19","1","1","0","5","0","0",".186","15149"
"Matt Chapman","OAK","16","59","67","11","5","1","2","3","6","10","6","0","24","1","1","0","2","0","0",".186","16505"
"Taylor Trammell","SEA","15","49","57","9","4","2","0","3","8","9","8","0","23","0","0","0","0","1","2",".184","19960"
"Marcus Semien","TOR","16","66","73","12","8","0","0","4","7","7","6","0","19","0","1","0","0","2","0",".182","12533"
"C.J. Cron","COL","14","44","52","8","5","3","0","0","7","3","7","0","16","1","0","0","0","0","0",".182","12546"
"Gregory Polanco","PIT","13","44","52","8","5","1","0","2","7","3","8","0","16","0","0","0","1","1","0",".182","12907"
"Anthony Santander","BAL","15","55","61","10","7","1","0","2","5","8","2","0","17","1","2","1","0","0","0",".182","14551"
"Brian Anderson","MIA","16","55","60","10","6","3","0","1","3","4","5","0","13","0","0","0","1","0","0",".182","18289"
"Ryan Mountcastle","BAL","16","61","64","11","6","4","0","1","6","7","2","0","21","0","1","0","0","1","0",".180","18373"
"Kevin Newman","PIT","15","56","58","10","8","2","0","0","3","2","2","0","3","0","0","0","0","0","0",".179","17696"
"Giancarlo Stanton","NYY","13","51","55","9","5","1","0","3","5","12","4","0","18","0","0","0","2","0","0",".176","4949"
"Jeff McNeil","NYM","12","34","38","6","3","2","0","1","3","4","3","0","3","1","0","0","1","0","0",".176","15362"
"Josh Fuentes","COL","15","51","51","9","6","1","0","2","6","9","0","0","15","0","0","0","1","0","0",".176","16885"
"Mike Yastrzemski","SFG","16","57","64","10","3","4","1","2","5","3","7","1","22","0","0","0","1","1","0",".175","14854"
"Luis Urias","MIL","15","40","52","7","2","3","0","2","5","8","12","2","13","0","0","0","1","1","0",".175","16622"
"Brandon Crawford","SFG","16","52","56","9","4","2","0","3","6","9","4","1","12","0","0","0","3","2","0",".173","5343"
"Eugenio Suarez","CIN","14","52","63","9","3","4","0","2","11","5","9","0","22","1","1","0","1","0","0",".173","12552"
"Jorge Polanco","MIN","14","54","61","9","6","3","0","0","6","6","4","0","11","2","1","0","0","1","1",".167","13152"
"Ian Happ","CHC","15","48","59","8","7","0","0","1","5","1","9","0","16","1","0","1","0","0","0",".167","17919"
"Jonathan Schoop","DET","14","49","54","8","8","0","0","0","6","2","3","0","18","0","2","0","1","0","0",".163","11265"
"Cesar Hernandez","CLE","15","56","65","9","6","2","0","1","5","2","9","0","12","0","0","0","1","0","0",".161","10556"
"Brandon Lowe","TBR","16","56","66","9","5","3","0","1","5","6","8","0","22","2","0","0","0","0","0",".161","18882"
"Aaron Hicks","NYY","13","50","55","8","6","1","0","1","3","5","4","0","14","1","0","0","2","0","0",".160","5297"
"Andrew McCutchen","PHI","15","51","62","8","6","0","1","1","5","5","11","0","13","0","0","0","1","1","0",".157","9847"
"Ozzie Albies","ATL","14","51","61","8","2","4","0","2","7","8","6","0","10","2","2","0","0","0","0",".157","16556"
"Jorge Soler","KCR","15","45","58","7","4","2","0","1","4","5","8","0","22","2","1","0","0","0","0",".156","14221"
"Joc Pederson","CHC","15","47","57","7","5","0","1","1","5","4","7","0","17","2","1","0","0","0","0",".149","11899"
"Jake Cave","MIN","14","43","49","6","5","1","0","0","4","0","4","0","17","1","0","1","0","1","0",".140","14477"
"Tommy Pham","SDP","17","52","65","7","6","1","0","0","3","4","10","0","11","2","1","0","2","2","1",".135","2967"
"Rio Ruiz","BAL","14","45","50","6","4","0","0","2","6","3","5","0","17","0","0","0","1","1","0",".133","14103"
"Keston Hiura","MIL","14","47","56","6","3","2","0","1","5","5","5","0","20","4","0","0","2","1","0",".128","20003"
"Elvis Andrus","OAK","16","55","60","7","4","3","0","0","2","3","3","1","12","0","2","0","2","0","0",".127","8709"
"Dylan Moore","SEA","17","50","58","6","2","3","0","1","5","6","7","0","20","0","1","0","1","2","0",".120","18042"
"Miguel Sano","MIN","14","43","56","5","3","0","0","2","6","4","13","0","19","0","0","0","1","0","0",".116","12164"
