"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Willie Calhoun","TEX","1","4","4","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0",".250","17838"
"Tyler Stephenson","CIN","1","4","4","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".250","17988"
"David Fletcher","LAA","1","4","4","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".250","17992"
"Sam Haggerty","SEA","1","4","4","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".250","18054"
"Ronald Acuna Jr.","ATL","1","4","5","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".250","18401"
"Pete Alonso","NYM","1","4","4","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","19251"
"Adolis Garcia","TEX","1","4","4","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".250","19287"
"Randy Arozarena","TBR","1","4","4","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","19290"
"Kyle Lewis","SEA","1","4","4","1","0","0","0","1","1","1","0","0","2","0","0","0","0","0","0",".250","19508"
"Shohei Ohtani","LAA","1","4","4","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","19755"
"Dylan Carlson","STL","1","4","4","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","20126"
"Alex Kirilloff","MIN","1","4","4","1","1","0","0","0","1","0","0","0","2","0","0","0","0","0","0",".250","20325"
"Starlin Castro","WSN","1","5","5","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0",".200","4579"
"Marcell Ozuna","ATL","1","5","5","1","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0",".200","10324"
"Jorge Polanco","MIN","1","5","5","1","0","0","0","1","2","2","0","0","1","0","0","0","0","0","0",".200","13152"
"Erik Gonzalez","PIT","1","5","5","1","0","0","0","1","1","2","0","0","1","0","0","0","0","0","0",".200","13369"
"Rhys Hoskins","PHI","1","5","5","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".200","16472"
"Trent Grisham","SDP","1","5","5","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".200","18564"
"Garrett Hampson","COL","1","5","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".200","19262"
"Bryan Reynolds","PIT","1","5","5","1","1","0","0","0","1","0","0","0","2","0","0","0","0","0","0",".200","19326"
"Adam Ottavino","BOS","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","1247"
"Zack Greinke","HOU","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","1943"
"Clayton Kershaw","LAD","1","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","2036"
"Tony Watson","LAA","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","3132"
"Joe Smith","HOU","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","3281"
"Matt Joyce","PHI","1","1","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".000","3353"
"Eric Hosmer","SDP","1","5","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".000","3516"
"Michael Brantley","HOU","1","5","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","4106"
"Mark Melancon","SDP","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","4264"
"Jed Lowrie","OAK","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","4418"
"Jarrod Dyson","KCR","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","4866"
"Jason Heyward","CHC","1","2","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","4940"
"Aaron Hicks","NYY","1","3","4","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0",".000","5297"
"Brandon Crawford","SFG","1","3","4","0","0","0","0","0","1","0","1","0","3","0","0","0","0","0","0",".000","5343"
"Jose Altuve","HOU","1","4","5","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0",".000","5417"
"Marwin Gonzalez","BOS","1","3","3","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0",".000","5497"
"Kyle Higashioka","NYY","1","4","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","5517"
"Hernan Perez","WSN","1","4","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","5751"
"Avisail Garcia","MIL","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","5760"
"J.D. Martinez","BOS","1","4","4","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".000","6184"
"Trevor May","NYM","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","6398"
"Alex Cobb","LAA","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","6562"
"Andrew Miller","STL","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","6785"
"Martin Maldonado","HOU","1","2","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",".000","6887"
"Daniel Hudson","WSN","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","7146"
"J.A. Happ","MIN","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","7410"
"Miguel Rojas","MIA","1","5","5","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0",".000","7802"
"Eric Sogard","CHC","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","7927"
"Matt Carpenter","STL","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","8090"
"Deolis Guerra","OAK","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","8410"
"Jason Castro","HOU","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0",".000","8722"
"Brad Hand","WSN","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","9111"
"Yan Gomes","WSN","1","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","9627"
"Sergio Romo","OAK","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","9817"
"Brett Gardner","NYY","1","4","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","9927"
"Darin Ruf","SFG","1","2","4","0","0","0","0","0","1","0","2","0","2","0","0","0","0","0","0",".000","9929"
"Brandon Kintzler","PHI","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","9939"
"Mike Minor","KCR","1","3","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","10021"
"Max Stassi","LAA","1","3","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","10059"
"Jonathan Villar","NYM","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","10071"
"Brad Boxberger","MIL","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","10133"
"Tucker Barnhart","CIN","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","10200"
"Aaron Northcraft","SDP","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","10218"
"Aaron Loup","NYM","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","10343"
"Enrique Hernandez","BOS","1","4","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","10472"
"Cesar Hernandez","CLE","1","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","10556"
"Corey Dickerson","MIA","1","0","2","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0",".000","10762"
"Andrelton Simmons","MIN","1","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","10847"
"Jacob deGrom","NYM","1","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","10954"
"Kevin Kiermaier","TBR","1","3","4","0","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0",".000","11038"
"Vince Velasquez","PHI","1","1","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0",".000","11189"
"Grant Dayton","ATL","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11203"
"Casey Sadler","SEA","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11209"
"Drew Pomeranz","SDP","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11426"
"Jesse Biddle","ATL","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11437"
"Tony Wolters","CHC","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11470"
"Odubel Herrera","PHI","1","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","11476"
"Michael A. Taylor","KCR","1","4","5","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0",".000","11489"
"Bryce Harper","PHI","1","2","3","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0",".000","11579"
"Willson Contreras","CHC","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11609"
"Nick Castellanos","CIN","1","4","4","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".000","11737"
"J.T. Realmuto","PHI","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11739"
"Luke Jackson","ATL","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11752"
"Hector Neris","PHI","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11804"
"Joe Panik","TOR","1","3","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","11936"
"Travis Shaw","MIL","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","11982"
"Jon Berti","MIA","1","3","5","0","0","0","0","0","1","0","2","0","1","0","0","0","0","0","1",".000","12037"
"Kyle Hendricks","CHC","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","12049"
"Yimi Garcia","MIA","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","12095"
"Austin Barnes","LAD","1","2","4","0","0","0","0","0","1","0","2","0","1","0","0","0","0","0","0",".000","12158"
"Maikel Franco","BAL","1","4","4","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0",".000","12179"
"Scott Schebler","LAA","1","4","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","12225"
"Curt Casali","SFG","1","2","4","0","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0",".000","12510"
"Eugenio Suarez","CIN","1","4","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","12552"
"Trevor Story","COL","1","3","4","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".000","12564"
"Blake Treinen","LAD","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","12572"
"Nick Ramirez","SDP","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","12575"
"Rafael Montero","SEA","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".000","12760"
"Sonny Gray","CIN","1","1","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",".000","12768"
