"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Salvador Perez","KCR","19","77","82","20","11","4","0","5","11","12","4","0","23","1","0","0","1","0","0",".260","7304"
"DJ LeMahieu","NYY","19","77","86","20","15","4","0","1","9","6","9","0","15","0","0","0","3","0","0",".260","9874"
"Jake Marisnick","CHC","15","27","31","7","3","2","1","1","6","8","3","0","11","1","0","0","0","1","1",".259","11339"
"Kolten Wong","MIL","9","27","35","7","5","1","0","1","4","1","6","0","6","2","0","0","0","2","0",".259","12532"
"Jose Trevino","TEX","15","58","61","15","13","2","0","0","5","1","2","0","15","0","1","0","2","0","0",".259","16725"
"Pete Alonso","NYM","16","58","66","15","9","2","0","4","7","11","6","0","18","1","1","0","1","0","0",".259","19251"
"Pavin Smith","ARI","17","58","62","15","9","5","0","1","9","6","4","0","11","0","0","0","3","0","0",".259","19892"
"Jonathan India","CIN","19","62","73","16","12","1","2","1","9","14","5","1","17","3","3","0","2","0","0",".258","21523"
"Christian Vazquez","BOS","18","66","71","17","12","3","0","2","11","5","5","0","10","0","0","0","4","2","0",".258","9774"
"Franmil Reyes","CLE","18","66","71","17","8","4","1","4","9","11","3","0","23","1","1","0","4","0","0",".258","14566"
"Eric Sogard","CHC","19","35","38","9","7","1","1","0","5","4","2","1","5","0","1","0","0","1","0",".257","7927"
"Nate Lowe","TEX","21","78","90","20","12","3","0","5","10","17","11","0","25","1","0","0","4","2","0",".256","19566"
"Jake Cronenworth","SDP","23","86","100","22","15","5","1","1","12","4","10","2","14","2","1","0","4","2","1",".256","18036"
"Aledmys Diaz","HOU","13","47","51","12","7","4","0","1","5","6","2","0","12","2","0","0","2","0","0",".255","15937"
"Pedro Severino","BAL","15","51","53","13","10","2","0","1","4","2","2","0","17","0","0","0","0","0","0",".255","14523"
"Austin Riley","ATL","19","55","68","14","12","0","0","2","10","4","8","1","15","4","1","0","1","0","0",".255","18360"
"Bobby Dalbec","BOS","17","55","60","14","9","4","1","0","2","4","5","0","21","0","0","0","0","0","0",".255","19966"
"Yandy Diaz","TBR","19","63","79","16","13","3","0","0","7","6","15","0","11","1","0","0","0","0","0",".254","16578"
"Freddy Galvis","BAL","20","67","74","17","10","4","1","2","10","5","6","0","18","0","0","1","0","1","0",".254","6609"
"Jurickson Profar","SDP","23","71","88","18","14","3","1","0","11","7","13","1","14","0","2","1","5","4","0",".254","10815"
"Maikel Franco","BAL","20","75","83","19","12","5","0","2","6","15","8","0","15","0","0","0","0","0","0",".253","12179"
"Jeimer Candelario","DET","21","79","87","20","14","5","0","1","10","7","8","0","22","0","0","0","2","0","0",".253","13621"
"Dexter Fowler","LAA","7","20","21","5","5","0","0","0","3","1","1","0","6","0","0","0","0","1","0",".250","4062"
"Yan Gomes","WSN","10","32","35","8","6","1","0","1","3","5","2","1","6","1","0","0","1","0","0",".250","9627"
"Gio Urshela","NYY","18","64","69","16","10","4","0","2","6","7","5","0","15","0","0","0","2","1","0",".250","10681"
"Tyler Naquin","CIN","17","56","65","14","7","1","0","6","9","18","7","0","16","1","1","0","0","1","1",".250","13359"
"Anthony Bemboom","LAA","4","12","12","3","3","0","0","0","1","0","0","0","5","0","0","0","1","0","0",".250","13854"
"Aaron Judge","NYY","18","64","77","16","10","2","0","4","7","8","13","0","20","0","0","0","3","0","0",".250","15640"
"D.J. Stewart","BAL","12","40","46","10","7","2","0","1","6","5","6","0","12","0","0","0","0","0","0",".250","17766"
"Braden Bishop","SEA","8","4","5","1","1","0","0","0","1","0","0","0","2","0","0","1","0","0","0",".250","17806"
"Luke Raley","LAD","11","24","26","6","4","1","0","1","1","2","1","0","7","1","0","0","0","0","0",".250","19354"
"Andrew Knizner","STL","8","16","18","4","2","2","0","0","1","1","2","0","2","0","0","0","1","0","0",".250","19514"
"Nick Heath","ARI","4","12","14","3","3","0","0","0","3","0","2","0","5","0","0","0","0","0","1",".250","19577"
"Sheldon Neuse","LAD","5","12","12","3","2","0","0","1","2","2","0","0","5","0","0","0","1","0","1",".250","19635"
"Joshua Palacios","TOR","10","28","35","7","7","0","0","0","7","4","3","0","7","2","1","1","0","0","0",".250","19818"
"Alan Trejo","COL","6","8","9","2","1","1","0","0","1","0","1","1","1","0","0","0","1","0","0",".250","20056"
"Enrique Hernandez","BOS","21","85","91","21","12","5","1","3","13","8","4","0","20","1","1","0","1","0","0",".247","10472"
"Kyle Seager","SEA","21","81","89","20","10","6","1","3","7","19","5","0","21","2","1","0","0","1","0",".247","9785"
"Manny Machado","SDP","22","81","97","20","15","2","0","3","12","9","15","1","18","0","1","0","3","4","1",".247","11493"
"Phillip Evans","PIT","19","69","79","17","11","2","0","4","11","6","6","0","16","4","0","0","2","1","0",".246","12950"
"Austin Meadows","TBR","19","69","86","17","8","5","0","4","11","7","14","0","21","2","1","0","2","0","0",".246","15672"
"Willson Contreras","CHC","19","65","78","16","9","1","0","6","13","13","7","0","24","5","1","0","3","1","1",".246","11609"
