"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Kolby Allard","TEX","0","0","3.18","8","0","0","0","0","0","0","17.0","72","16","6","6","2","4","0","0","2","0","21","18694"
"Jake Brentz","KCR","0","0","3.18","19","0","0","0","0","3","0","17.0","77","12","7","6","2","13","1","0","1","1","20","17783"
"Clayton Kershaw","LAD","6","3","3.20","9","9","0","0","0","0","0","50.2","202","42","19","18","4","9","0","1","2","0","57","2036"
"Ian Anderson","ATL","3","1","3.20","8","8","0","0","0","0","0","45.0","186","34","16","16","4","21","0","0","2","0","47","19951"
"Taylor Rogers","MIN","0","1","3.21","12","0","0","0","2","3","2","14.0","57","15","6","5","2","2","1","0","0","0","19","13449"
"Jose Urquidy","HOU","3","2","3.22","8","8","0","0","0","0","0","44.2","177","37","16","16","6","9","0","1","2","0","33","18413"
"Julio Urias","LAD","5","1","3.26","8","8","0","0","0","0","0","49.2","193","38","19","18","6","7","1","2","0","0","52","14765"
"Sam Hentges","CLE","1","0","3.29","5","1","0","0","0","0","0","13.2","63","18","6","5","4","6","0","0","3","0","14","18548"
"Rex Brothers","CHC","1","0","3.29","16","0","0","0","1","4","0","13.2","59","10","5","5","1","6","0","3","1","0","25","9794"
"Hirokazu Sawamura","BOS","1","0","3.31","14","0","0","0","0","2","0","16.1","67","14","6","6","4","5","0","1","0","0","21","27515"
"Luis Garcia","HOU","1","3","3.34","8","6","0","0","0","0","0","35.0","144","26","13","13","6","13","1","3","1","0","40","23735"
"Hyeon-jong Yang","TEX","0","0","3.38","4","1","0","0","0","0","0","16.0","66","13","6","6","3","5","0","0","0","0","13","27513"
"Robbie Ray","TOR","1","1","3.38","6","6","0","0","0","0","0","34.2","139","29","13","13","8","10","0","0","1","0","39","11486"
"Miguel Castro","NYM","0","1","3.38","14","1","0","0","0","2","1","13.1","61","12","6","5","1","8","0","1","2","0","20","15684"
"Emilio Pagan","SDP","3","0","3.38","18","0","0","0","0","4","1","16.0","70","15","6","6","4","7","0","1","0","0","23","14771"
"Brett Martin","TEX","0","1","3.38","11","0","0","0","0","1","0","10.2","49","13","6","4","1","3","2","0","2","0","6","17369"
"Kyle Ryan","CHC","0","0","3.38","3","0","0","0","0","0","0","2.2","15","5","1","1","0","2","0","0","0","0","2","11753"
"Kyle Zimmer","KCR","2","0","3.38","11","0","0","0","1","2","0","13.1","49","7","5","5","1","5","0","0","3","0","12","14169"
"Jordan Yamamoto","NYM","1","0","3.38","1","0","0","0","0","0","0","2.2","12","4","1","1","0","0","0","1","0","0","1","17585"
"Sam Howard","PIT","2","2","3.38","19","0","0","0","0","7","0","13.1","53","5","5","5","2","9","0","0","1","0","21","16265"
"Aaron Civale","CLE","5","1","3.40","8","8","0","0","0","0","0","53.0","209","41","21","20","7","15","0","2","1","1","39","19479"
"Martin Perez","BOS","1","2","3.40","8","8","0","0","0","0","0","39.2","174","38","17","15","2","16","0","5","1","0","37","6902"
"Brent Suter","MIL","2","2","3.43","14","1","0","0","0","3","1","21.0","88","21","9","8","2","7","0","0","0","0","18","13942"
"Bryan Abreu","HOU","2","1","3.43","16","0","0","0","0","4","2","21.0","86","16","10","8","2","9","0","2","3","0","20","16609"
"Hansel Robles","MIN","0","1","3.45","16","0","0","0","1","7","1","15.2","63","7","7","6","1","9","1","1","0","0","16","11801"
"Alex Young","ARI","1","3","3.45","17","0","0","0","0","2","1","15.2","70","13","7","6","3","10","3","0","0","0","21","18333"
"Walker Buehler","LAD","1","0","3.45","7","7","0","0","0","0","0","44.1","170","37","17","17","8","3","0","1","0","0","47","19374"
"Michael Fulmer","DET","3","2","3.45","13","4","0","0","2","3","0","28.2","121","24","14","11","3","8","0","2","1","0","27","13218"
"Chris Flexen","SEA","4","1","3.46","7","7","0","0","0","0","0","39.0","162","45","16","15","3","8","0","1","1","0","23","13896"
"Dillon Tate","BAL","0","1","3.46","11","0","0","0","0","2","0","13.0","49","10","6","5","2","2","0","1","1","0","6","17796"
"Corey Kluber","NYY","3","2","3.48","8","8","0","0","0","0","0","41.1","178","39","19","16","4","19","0","3","3","0","41","2429"
"Lou Trivino","OAK","1","1","3.48","19","0","0","0","6","4","1","20.2","88","16","9","8","2","12","1","1","4","0","22","15043"
"Nate Jones","ATL","0","2","3.48","12","0","0","0","0","2","1","10.1","50","8","6","4","3","10","4","1","1","0","7","4696"
"Tyler Anderson","PIT","3","3","3.50","8","8","0","0","0","0","0","46.1","187","37","18","18","5","14","0","0","0","0","44","12880"
"Ross Detwiler","MIA","0","0","3.52","16","2","0","0","0","0","0","15.1","68","10","6","6","0","9","0","2","0","0","19","2859"
"Chris Bassitt","OAK","3","2","3.54","8","8","0","0","0","0","0","48.1","199","41","19","19","4","12","0","5","2","0","53","12304"
"Sonny Gray","CIN","0","2","3.55","5","5","0","0","0","0","0","25.1","113","25","10","10","3","12","1","1","6","0","36","12768"
"Wandy Peralta","- - -","2","1","3.55","16","0","0","0","2","1","1","12.2","52","13","5","5","1","3","0","0","2","1","14","14295"
"Zach Plesac","CLE","3","3","3.56","8","8","0","0","0","0","0","48.0","189","36","19","19","5","10","0","1","2","0","33","19979"
"Cody Poteet","MIA","1","0","3.60","1","1","0","0","0","0","0","5.0","19","4","2","2","1","0","0","0","0","0","6","18769"
